"","Source","Year","Anomaly1y","Anomaly5y","Anomaly10y","Unc10y"
"1","Berkeley",1800,NA,NA,-0.435,0.505
"2","Berkeley",1801,NA,NA,-0.453,0.493
"3","Berkeley",1802,NA,NA,-0.46,0.486
"4","Berkeley",1803,NA,NA,-0.493,0.489
"5","Berkeley",1804,NA,NA,-0.536,0.483
"6","Berkeley",1805,NA,NA,-0.541,0.475
"7","Berkeley",1806,NA,NA,-0.59,0.468
"8","Berkeley",1807,NA,NA,-0.695,0.461
"9","Berkeley",1808,NA,NA,-0.763,0.453
"10","Berkeley",1809,NA,NA,-0.818,0.451
"11","Berkeley",1810,NA,NA,-0.842,0.437
"12","Berkeley",1811,NA,NA,-0.912,0.406
"13","Berkeley",1812,NA,NA,-0.963,0.395
"14","Berkeley",1813,NA,NA,-1.015,0.389
"15","Berkeley",1814,NA,NA,-0.949,0.369
"16","Berkeley",1815,NA,NA,-0.935,0.368
"17","Berkeley",1816,NA,NA,-0.918,0.361
"18","Berkeley",1817,NA,NA,-0.802,0.33
"19","Berkeley",1818,NA,NA,-0.743,0.349
"20","Berkeley",1819,NA,NA,-0.703,0.382
"21","Berkeley",1820,NA,NA,-0.625,0.395
"22","Berkeley",1821,NA,NA,-0.527,0.363
"23","Berkeley",1822,NA,NA,-0.392,0.339
"24","Berkeley",1823,NA,NA,-0.332,0.351
"25","Berkeley",1824,NA,NA,-0.321,0.343
"26","Berkeley",1825,NA,NA,-0.278,0.344
"27","Berkeley",1826,NA,NA,-0.27,0.295
"28","Berkeley",1827,NA,NA,-0.378,0.284
"29","Berkeley",1828,NA,NA,-0.398,0.254
"30","Berkeley",1829,NA,NA,-0.388,0.243
"31","Berkeley",1830,NA,NA,-0.429,0.247
"32","Berkeley",1831,NA,NA,-0.506,0.247
"33","Berkeley",1832,NA,NA,-0.625,0.257
"34","Berkeley",1833,NA,NA,-0.689,0.246
"35","Berkeley",1834,NA,NA,-0.667,0.224
"36","Berkeley",1835,NA,NA,-0.689,0.22
"37","Berkeley",1836,NA,NA,-0.727,0.221
"38","Berkeley",1837,NA,NA,-0.662,0.218
"39","Berkeley",1838,NA,NA,-0.612,0.222
"40","Berkeley",1839,NA,NA,-0.613,0.256
"41","Berkeley",1840,NA,NA,-0.638,0.274
"42","Berkeley",1841,NA,NA,-0.542,0.267
"43","Berkeley",1842,NA,NA,-0.472,0.282
"44","Berkeley",1843,NA,NA,-0.407,0.269
"45","Berkeley",1844,NA,NA,-0.402,0.285
"46","Berkeley",1845,NA,NA,-0.39,0.285
"47","Berkeley",1846,NA,NA,-0.351,0.284
"48","Berkeley",1847,NA,NA,-0.346,0.28
"49","Berkeley",1848,NA,NA,-0.362,0.273
"50","Berkeley",1849,NA,NA,-0.357,0.26
"51","Berkeley",1850,NA,NA,-0.29,0.244
"52","Berkeley",1851,NA,NA,-0.321,0.239
"53","Berkeley",1852,NA,NA,-0.372,0.228
"54","Berkeley",1853,NA,NA,-0.363,0.226
"55","Berkeley",1854,NA,NA,-0.351,0.228
"56","Berkeley",1855,NA,NA,-0.348,0.216
"57","Berkeley",1856,NA,NA,-0.374,0.203
"58","Berkeley",1857,NA,NA,-0.418,0.187
"59","Berkeley",1858,NA,NA,-0.42,0.186
"60","Berkeley",1859,NA,NA,-0.427,0.178
"61","Berkeley",1860,NA,NA,-0.473,0.172
"62","Berkeley",1861,NA,NA,-0.458,0.154
"63","Berkeley",1862,NA,NA,-0.412,0.149
"64","Berkeley",1863,NA,NA,-0.393,0.145
"65","Berkeley",1864,NA,NA,-0.373,0.141
"66","Berkeley",1865,NA,NA,-0.344,0.148
"67","Berkeley",1866,NA,NA,-0.317,0.147
"68","Berkeley",1867,NA,NA,-0.282,0.145
"69","Berkeley",1868,NA,NA,-0.269,0.145
"70","Berkeley",1869,NA,NA,-0.241,0.149
"71","Berkeley",1870,NA,NA,-0.233,0.149
"72","Berkeley",1871,NA,NA,-0.255,0.146
"73","Berkeley",1872,NA,NA,-0.271,0.142
"74","Berkeley",1873,NA,NA,-0.247,0.14
"75","Berkeley",1874,NA,NA,-0.248,0.132
"76","Berkeley",1875,NA,NA,-0.271,0.128
"77","Berkeley",1876,NA,NA,-0.252,0.124
"78","Berkeley",1877,NA,NA,-0.235,0.12
"79","Berkeley",1878,NA,NA,-0.257,0.115
"80","Berkeley",1879,NA,NA,-0.297,0.119
"81","Berkeley",1880,NA,NA,-0.321,0.124
"82","Berkeley",1881,NA,NA,-0.314,0.123
"83","Berkeley",1882,NA,NA,-0.325,0.117
"84","Berkeley",1883,NA,NA,-0.376,0.108
"85","Berkeley",1884,NA,NA,-0.373,0.111
"86","Berkeley",1885,NA,NA,-0.368,0.11
"87","Berkeley",1886,NA,NA,-0.386,0.109
"88","Berkeley",1887,NA,NA,-0.397,0.107
"89","Berkeley",1888,NA,NA,-0.394,0.108
"90","Berkeley",1889,NA,NA,-0.364,0.104
"91","Berkeley",1890,NA,NA,-0.342,0.102
"92","Berkeley",1891,NA,NA,-0.323,0.099
"93","Berkeley",1892,NA,NA,-0.298,0.1
"94","Berkeley",1893,NA,NA,-0.273,0.107
"95","Berkeley",1894,NA,NA,-0.286,0.107
"96","Berkeley",1895,NA,NA,-0.251,0.106
"97","Berkeley",1896,NA,NA,-0.201,0.104
"98","Berkeley",1897,NA,NA,-0.176,0.104
"99","Berkeley",1898,NA,NA,-0.153,0.104
"100","Berkeley",1899,NA,NA,-0.174,0.106
"101","Berkeley",1900,NA,NA,-0.171,0.108
"102","Berkeley",1901,NA,NA,-0.162,0.109
"103","Berkeley",1902,NA,NA,-0.177,0.108
"104","Berkeley",1903,NA,NA,-0.199,0.104
"105","Berkeley",1904,NA,NA,-0.223,0.105
"106","Berkeley",1905,NA,NA,-0.241,0.107
"107","Berkeley",1906,NA,NA,-0.294,0.106
"108","Berkeley",1907,NA,NA,-0.312,0.105
"109","Berkeley",1908,NA,NA,-0.328,0.103
"110","Berkeley",1909,NA,NA,-0.281,0.101
